INVOICE_ID,INVOICE_DATE,INVOICE_AMOUNT,AMOUNT_PAID,ATTRIBUTE_CATEGORY,INVOICE_NUM,RECEIVER
1729557,06-MAY-15,290,290,AVANSAS,1-2084/20-05,"ARTUR LIUDKOVSKI"
1729567,06-MAY-15,377,377,AVANSAS,1-2084/21-05,"MYKOLAS MAJAUSKAS"
1729574,06-MAY-15,290,290,AVANSAS,1-2084/22-05,"ZBIGNIEV MACIEJEVSKI"
1729600,06-MAY-15,377,377,AVANSAS,1-2084/23-05,"AUŠRA MALDEIKIENĖ"
1729616,06-MAY-15,377,377,AVANSAS,1-2084/24-05,"VIDMANTAS MARTIKONIS"
1729623,06-MAY-15,377,377,AVANSAS,1-2084/25-05,"VYTAUTAS MITALAS"
1729630,06-MAY-15,377,377,AVANSAS,1-2084/26-05,"MIROSLAVAS MONKEVIČIUS"
1729638,06-MAY-15,377,377,AVANSAS,1-2084/27-05,"RAFAEL MUKSINOV"
1729688,06-MAY-15,377,377,AVANSAS,1-2084/29-05,"JUOZAS OLEKAS"
1729713,06-MAY-15,290,290,AVANSAS,1-2084/30-05,"VIOLETA PODOLSKAITĖ"
1729945,06-MAY-15,377,377,AVANSAS,1-2084/31-05,"ROMUALDA POŠEVECKAJA"
1729986,06-MAY-15,290,290,AVANSAS,1-2084/32-05,"GEDIMINAS RUDŽIONIS"
1729989,06-MAY-15,290,290,AVANSAS,1-2084/33-05,"GŽEGOŽ SAKSON"
1729991,06-MAY-15,377,377,AVANSAS,1-2084/34-05,"ARVYDAS SEKMOKAS"
1729994,06-MAY-15,377,377,AVANSAS,1-2084/35-05,"MARIUS SKARUPSKAS"
1729998,06-MAY-15,377,377,AVANSAS,1-2084/36-05,"ŠARŪNAS SKUČAS"
1730001,06-MAY-15,377,377,AVANSAS,1-2084/37-05,"GEDIMINAS STORPIRŠTIS"
1730024,06-MAY-15,377,377,AVANSAS,1-2084/38-05,"LIUTAURAS STOŠKUS"
1730194,06-MAY-15,377,377,AVANSAS,1-2084/39-05,"ARŪNAS ŠIKŠTA"
1730200,06-MAY-15,290,290,AVANSAS,1-2084/40-05,"ŽILVINAS ŠILGALIS"
1730206,06-MAY-15,377,377,AVANSAS,1-2084/41-05,"EDITA ŠIŠKO"
1730208,06-MAY-15,377,377,AVANSAS,1-2084/42-05,"ALDONA ŠVENTICKIENĖ"
1730214,06-MAY-15,290,290,AVANSAS,1-2084/43-05,"GEDIMINAS ŠVILPA"
1730219,06-MAY-15,377,377,AVANSAS,1-2084/44-05,"EDITA TAMOŠIŪNAITĖ"
1730223,06-MAY-15,377,377,AVANSAS,1-2084/45-05,"SKIRMANTAS TUMELIS"
1730230,06-MAY-15,290,290,AVANSAS,1-2084/46-05,"VIDAS URBONAVIČIUS"
1730235,06-MAY-15,377,377,AVANSAS,1-2084/47-05,"ARTŪRAS ZUOKAS"
1753831,01-JUN-15,95,95,AVANSAS,24-18,"JAROSLAV KAMINSKI"
1756356,27-MAY-15,2143.5,2143.5,AVANSAS,1-2070.2015,"REMIGIJUS ŠIMAŠIUS"
1756359,18-MAY-15,290,290,AVANSAS,40-145/1,"LINAS KVEDARAVIČIUS"
1756723,03-JUN-15,290,290,AVANSAS,1-2084/1-06,"RIMAS ANDRIKIS"
1756734,03-JUN-15,290,290,AVANSAS,1-2084/2-06,"AUŠRINĖ ARMONAITĖ"
1756739,03-JUN-15,290,290,AVANSAS,1-2084/3-06,"RITA BALČIŪNIENĖ"
