"ID";"SHOWS";"QUESTION_ID";"MEETING_ID";"VOTING_INFO";"VOTING_SHORT";"VOTE_DATE";"VOTE";"SYS_ID"
"216";"Už";"28103";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:52:43";"Už";"1"
"217";"Už";"28104";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:54:27";"Už";"1"
"218";"Už";"28105";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:00:03";"Už";"1"
"219";"Už";"28106";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:01:24";"Už";"1"
"220";"Už";"28107";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:03:22";"Už";"1"
"221";"Už";"28108";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:03:42";"Už";"1"
"222";"Už";"28109";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:09:30";"Už";"1"
"223";"Už";"28110";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:09:30";"Už";"1"
"224";"Už";"28111";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:09:30";"Už";"1"
"225";"Už";"28112";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:09:30";"Už";"1"
"226";"Už";"28113";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:09:30";"Už";"1"
"227";"Už";"28114";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:09:30";"Už";"1"
"228";"Už";"28115";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 18:13:39";"Už";"1"
